Hero,Pick Rate
Abaddon,0.3
Alchemist,0.9
Ancient Apparition,0.8
Anti-Mage,1.4
Arc Warden,0.5
Axe,1.4
Bane,0.3
Batrider,0.2
Beastmaster,0.3
Bloodseeker,0.4
Bounty Hunter,0.6
Brewmaster,0.3
Bristleback,0.9
Broodmother,0.1
Centaur Warrunner,0.5
Chaos Knight,0.5
Chen,0.1
Clinkz,0.3
Clockwerk,1.0
Crystal Maiden,1.2
Dark Seer,0.2
Dark Willow,0.5
Dazzle,0.4
Death Prophet,0.2
Disruptor,0.8
Doom,0.5
Dragon Knight,0.4
Drow Ranger,0.8
Earth Spirit,0.6
Earthshaker,1.4
Elder Titan,0.1
Ember Spirit,0.7
Enchantress,0.1
Enigma,0.5
Faceless Void,1.9
Grimstroke,0.6
Gyrocopter,0.4
Hoodwink,2.5
Huskar,0.2
Invoker,2.5
Io,0.3
Jakiro,1.1
Juggernaut,2.6
Keeper of the Light,0.6
Kunkka,0.8
Legion Commander,2.2
Leshrac,0.4
Lich,1.2
Lifestealer,1.1
Lina,1.4
Lion,2.6
Lone Druid,0.1
Luna,0.5
Lycan,0.1
Magnus,0.8
Mars,1.7
Medusa,0.3
Meepo,0.2
Mirana,1.3
Monkey King,0.9
Morphling,0.9
Naga Siren,0.1
Nature's Prophet,0.4
Necrophos,0.5
Night Stalker,0.4
Nyx Assassin,0.4
Ogre Magi,2.4
Omniknight,0.2
Oracle,0.5
Outworld Devourer,0.3
Pangolier,1.0
Phantom Assassin,1.8
Phantom Lancer,0.5
Phoenix,0.6
Puck,0.8
Pudge,2.9
Pugna,0.5
Queen of Pain,1.0
Razor,0.2
Riki,0.4
Rubick,1.6
Sand King,0.9
Shadow Demon,0.2
Shadow Fiend,1.4
Shadow Shaman,1.7
Silencer,0.7
Skywrath Mage,0.6
Slardar,1.2
Slark,1.9
Snapfire,1.2
Sniper,0.6
Spectre,1.1
Spirit Breaker,1.0
Storm Spirit,1.1
Sven,0.8
Techies,0.8
Templar Assassin,0.4
Terrorblade,0.5
Tidehunter,0.6
Timbersaw,1.1
Tinker,1.0
Tiny,1.0
Treant Protector,0.5
Troll Warlord,0.7
Tusk,1.8
Underlord,0.8
Undying,0.9
Ursa,1.3
Vengeful Spirit,0.4
Venomancer,0.5
Viper,1.1
Visage,0.1
Void Spirit,1.3
Warlock,0.3
Weaver,0.3
Windranger,1.8
Winter Wyvern,0.3
Witch Doctor,1.2
Wraith King,1.5
Zeus,0.9
